step_reward,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
-0.006,724,1000,56.511,6.905277999999999,N/A
-0.004,734,1000,56.164,7.11828,N/A
-0.002,707,1000,57.623,6.956168,N/A
0.0,144,1000,93.475,1.44,N/A
0.002,149,1000,93.048,1.6757979999999997,N/A
0.004,112,1000,94.749,1.498548,N/A
