alpha,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
0.8,454,500,28.284,8.80624,N/A
0.85,445,500,29.784,8.61106,N/A
0.9,448,500,28.764,8.68132,N/A
0.95,454,500,28.838,8.8007,N/A
1.0,449,500,29.512,8.69386,N/A
