goal_reward,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
-10,4,500,99.776,0.7382999999999993,N/A
0,228,500,71.418,1.1810999999999994,N/A
1,180,500,77.958,1.2404199999999996,N/A
5,191,500,75.686,2.803259999999999,N/A
10,274,500,64.184,6.7384,N/A
