alpha,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
0.8,247,500,68.436,6.09272,N/A
0.85,225,500,70.866,5.642119999999999,N/A
0.9,229,500,71.326,5.683260000000001,N/A
0.95,251,500,67.598,6.23572,N/A
1.0,258,500,66.544,6.354079999999998,N/A
