gamma,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
0.8,453,500,27.848,8.79058,N/A
0.85,459,500,26.734,8.92184,N/A
0.9,445,500,29.302,8.615879999999999,N/A
0.95,446,500,31.266,8.616259999999999,N/A
1.0,448,500,30.162,8.667339999999998,N/A
