step_reward,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
-0.006,452,500,28.202,8.876211999999999,N/A
-0.004,459,500,28.566,9.069408,N/A
-0.002,453,500,29.008,9.003796,N/A
0.0,7,500,99.612,0.14,N/A
0.002,3,500,99.906,0.2598000000000001,N/A
0.004,1,500,99.914,0.4196480000000003,N/A
