ep_decay,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
0.85,473,500,22.726,9.2422,N/A
0.9,470,500,24.324,9.166159999999998,N/A
0.95,473,500,23.53,9.234160000000001,N/A
0.99,444,500,30.584,8.58304,N/A
1,41,500,97.94,-0.15858000000000055,N/A
