ep_decay,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
0.85,467,500,23.908,9.110260000000002,N/A
0.9,474,500,21.968,9.2698,N/A
0.95,471,500,23.292,9.196500000000002,N/A
0.99,451,500,30.97,8.719320000000002,N/A
1,43,500,97.658,-0.11572000000000061,N/A
