goal_reward,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
-10,3,500,99.906,0.8135399999999993,N/A
0,200,500,75.322,1.0889799999999996,N/A
1,249,500,68.67,1.7029599999999996,N/A
5,205,500,73.34,3.0255799999999993,N/A
10,207,500,74.852,5.1712,N/A
