dqn_version,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
ddqn,0,500,100.0,-1.0000000000000004,nan
vanilla,252,500,63.918,4.4109,0.042563027826202755
dueling,239,500,64.262,4.14694,0.05511246927552535
