dqn_version,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
vanilla,432,500,33.406,8.323220000000001,0.10383310631930422
ddqn,466,500,26.936,9.069280000000001,0.09282599158757439
dueling,306,500,52.148,5.610759999999999,0.15014179552886747
