goal_reward,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
-10,192,36000,99.85647222222222,0.6708505555555551,N/A
0,15434,36000,68.3595,1.0819358333333329,N/A
1,15562,36000,67.89822222222222,1.483119166666666,N/A
5,16266,36000,66.4355,3.359002499999999,N/A
10,17854,36000,62.91791666666666,6.119978888888888,N/A
