batch_size,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
16,486,500,25.186,9.487579999999998,0.1467110191900726
32,471,500,25.87,9.18014,0.10781218825728231
64,461,500,26.82,8.97024,0.07988227046127666
128,202,500,71.344,3.3346400000000003,0.0374004602439768
256,266,500,58.864,4.742,0.050588067614903295
