gamma,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
0.8,729,1000,56.767,6.72962,N/A
0.85,748,1000,54.159,6.94589,N/A
0.9,692,1000,57.504,6.3518799999999995,N/A
0.95,737,1000,56.286,6.81451,N/A
1.0,725,1000,56.559,6.69166,N/A
