goal_reward,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
-10,176,1000,90.789,-2.66613,N/A
0,623,1000,63.598,-0.6297500000000004,N/A
1,729,1000,56.488,0.17140999999999967,N/A
5,752,1000,55.384,3.2136799999999996,N/A
10,730,1000,56.582,6.741479999999999,N/A
