ep_decay,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
0.85,0,500,100.0,-0.0061600000000007335,N/A
0.9,0,500,100.0,-0.01020000000000071,N/A
0.95,0,500,100.0,-0.004140000000000631,N/A
0.99,237,500,71.4,5.8649,N/A
1,0,500,100.0,-0.6081200000000005,N/A
