episode,steps,rewards,loss
1,100,-1.0000000000000007,0.0
2,100,-1.0000000000000007,0.0
3,100,-1.0000000000000007,0.09587498730048537
4,100,-1.0000000000000007,0.023383964709937574
5,100,-1.0000000000000007,0.019651878010481596
6,100,-1.0000000000000007,0.01769004532136023
7,100,-1.0000000000000007,0.015714626675471664
8,100,-1.0000000000000007,0.014085556138306856
9,100,-1.0000000000000007,0.01257881429977715
10,100,-1.0000000000000007,0.01122093397192657
11,100,-1.0000000000000007,0.009434909773990512
12,100,-1.0000000000000007,0.005123410257510841
13,100,-1.0000000000000007,0.00397243765881285
14,100,-1.0000000000000007,0.0032868581847287715
15,100,-1.0000000000000007,0.0027694772137328984
16,100,-1.0000000000000007,0.002543760146945715
17,100,-1.0000000000000007,0.00231314905337058
18,100,-1.0000000000000007,0.0020537366718053817
19,100,-1.0000000000000007,0.0019499893230386079
20,100,-1.0000000000000007,0.0018087812943849712
21,100,-1.0000000000000007,0.0025405892392154784
22,100,-1.0000000000000007,0.0015788737602997571
23,100,-1.0000000000000007,0.0012977136374684051
24,100,-1.0000000000000007,0.0010977253055898472
25,100,-1.0000000000000007,0.0009354357852134854
26,100,-1.0000000000000007,0.0008043372724205255
27,100,-1.0000000000000007,0.0007319466932676732
28,100,-1.0000000000000007,0.0006482152466196567
29,100,-1.0000000000000007,0.0006127814319916069
30,100,-1.0000000000000007,0.0005621429413440637
31,100,-1.0000000000000007,0.0011322953249327838
32,100,-1.0000000000000007,0.0007536574843106792
33,100,-1.0000000000000007,0.0006296373275108635
34,100,-1.0000000000000007,0.0005518237760406919
35,100,-1.0000000000000007,0.0004978038533590734
36,100,-1.0000000000000007,0.0004436045538750477
37,100,-1.0000000000000007,0.00043096745968796313
38,100,-1.0000000000000007,0.00040328770934138446
39,100,-1.0000000000000007,0.0003933466333546676
40,100,-1.0000000000000007,0.0003803681867429987
41,100,-1.0000000000000007,0.0006828156125266105
42,100,-1.0000000000000007,0.00039023647259455173
43,100,-1.0000000000000007,0.00034487701443140393
44,100,-1.0000000000000007,0.000313260723487474
45,100,-1.0000000000000007,0.00030092448956565933
46,100,-1.0000000000000007,0.0002782478873268701
47,100,-1.0000000000000007,0.0002684698789380491
48,100,-1.0000000000000007,0.00023995825773454271
49,100,-1.0000000000000007,0.00024248963920399545
50,100,-1.0000000000000007,0.00022708460339345037
51,100,-1.0000000000000007,0.0005020134383812546
52,100,-1.0000000000000007,0.00033989480070886204
53,100,-1.0000000000000007,0.0002911074993608054
54,100,-1.0000000000000007,0.0002815897438267712
55,100,-1.0000000000000007,0.0002712274568330031
56,100,-1.0000000000000007,0.00025360055253258906
57,100,-1.0000000000000007,0.000237333847762784
58,100,-1.0000000000000007,0.0002387291713966988
59,100,-1.0000000000000007,0.00021967586406390182
60,100,-1.0000000000000007,0.00021561522480624263
61,100,-1.0000000000000007,0.0003294539729540702
62,100,-1.0000000000000007,0.00021059361562947743
63,100,-1.0000000000000007,0.0002001713775098324
64,100,-1.0000000000000007,0.00018503149163734634
65,100,-1.0000000000000007,0.00018228622546303085
66,100,-1.0000000000000007,0.0001714033722964814
67,100,-1.0000000000000007,0.0001638565156463301
68,100,-1.0000000000000007,0.00016142585234774743
69,100,-1.0000000000000007,0.00015668426676711532
70,100,-1.0000000000000007,0.00015628433771780692
71,100,-1.0000000000000007,0.00024254415307950694
72,100,-1.0000000000000007,0.00017599861268536188
73,100,-1.0000000000000007,0.00016550753767660353
74,100,-1.0000000000000007,0.00016162665240699426
75,100,-1.0000000000000007,0.00014965840859076706
76,100,-1.0000000000000007,0.000154080981228617
77,100,-1.0000000000000007,0.00014514711285301018
78,100,-1.0000000000000007,0.00014126973946986253
79,100,-1.0000000000000007,0.0001437292404443724
80,100,-1.0000000000000007,0.00014793277747230605
81,100,-1.0000000000000007,0.00021061201587144752
82,100,-1.0000000000000007,0.0001609312331856927
83,100,-1.0000000000000007,0.00014051694626687094
84,100,-1.0000000000000007,0.00013671319909917658
85,100,-1.0000000000000007,0.00013640568482514937
86,100,-1.0000000000000007,0.0001303249690681696
87,100,-1.0000000000000007,0.00012770215071213897
88,100,-1.0000000000000007,0.0001254985287596355
89,100,-1.0000000000000007,0.00012275475084607023
90,100,-1.0000000000000007,0.00010865805030334741
91,100,-1.0000000000000007,0.00015379563388705718
92,100,-1.0000000000000007,0.00012605370629898972
93,100,-1.0000000000000007,0.00011564111948246136
94,100,-1.0000000000000007,0.00011686613233905519
95,100,-1.0000000000000007,0.00011151199527375866
96,100,-1.0000000000000007,0.00011038853612262756
97,100,-1.0000000000000007,0.00010545299017394427
98,100,-1.0000000000000007,0.00010369550243922277
99,100,-1.0000000000000007,0.00010134799573279452
100,100,-1.0000000000000007,0.0001030678435927257
101,100,-1.0000000000000007,0.00012723594245471758
102,100,-1.0000000000000007,9.951784420991316e-05
103,100,-1.0000000000000007,9.931050557497656e-05
