dqn_version,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
vanilla,835,1000,30.522,8.061480000000001,0.23164125242822556
ddqn,711,1000,42.097,6.70325,0.198941951740492
dueling,431,1000,66.105,3.6575699999999998,0.17936172352630908
