goal_reward,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
-10,7,500,99.654,0.7361399999999995,N/A
0,204,500,74.784,1.0520199999999995,N/A
1,298,500,62.092,1.8495399999999995,N/A
5,242,500,68.962,3.6259399999999995,N/A
10,266,500,65.334,6.55866,N/A
