goal_reward,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
-10,19,500,99.14,-1.3710200000000003,N/A
0,438,500,32.004,-0.31128000000000017,N/A
1,446,500,29.856,0.6023599999999999,N/A
5,452,500,29.61,4.23294,N/A
10,448,500,29.818,8.67078,N/A
