target_freq_update,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
4,461,500,28.532,8.953119999999998,0.20435267764700962
10,0,500,100.0,-1.0000000000000004,nan
16,297,500,55.118,5.4007,0.04564588560420786
