gamma,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
0.8,264,500,65.654,6.53966,N/A
0.85,5,500,99.85,0.29743999999999926,N/A
0.9,290,500,62.412,7.05624,N/A
0.95,286,500,62.404,6.978260000000001,N/A
1.0,214,500,73.644,5.476939999999999,N/A
