epsilon,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
0.7,452,500,26.728,8.7908,0.028507734970388512
0.9,471,500,25.128,9.18756,0.08309385129729
1.0,231,500,65.866,3.97058,0.051175522381042116
