goal_reward,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
-10,14,500,99.348,-1.2732000000000003,N/A
0,436,500,32.392,-0.31520000000000015,N/A
1,448,500,28.74,0.6175599999999999,N/A
5,446,500,32.868,4.1402399999999995,N/A
10,459,500,26.89,8.920279999999998,N/A
