alpha,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
0.9,16341,36000,66.03866666666667,5.6296091666666666,N/A
0.95,16294,36000,66.08902777777777,5.597885,N/A
0.99,16431,36000,65.69105555555555,5.6630199999999995,N/A
0.999,17511,36000,63.51108333333333,6.003271666666666,N/A
1,17884,36000,62.72336111111111,6.072471666666666,N/A
