gamma,done_episodes_count,total_episodes_count,total_steps_avg,rewards_avg,loss_avg
0.8,418,500,33.782,8.030539999999998,N/A
0.85,419,500,32.846,8.05992,N/A
0.9,406,500,34.854,7.77958,N/A
0.95,398,500,38.482,7.583139999999999,N/A
1.0,415,500,33.892,7.969379999999999,N/A
